Threads, Peak Performance
591,-20321.792969
592,1111.908936
593,2343.280029
594,-10301.618164
595,4998.443848
596,-5302.597168
597,-10175.478516
598,17031.904297
599,16586.083984
600,11178.129883
601,15613.202148
602,31809.951172
603,29679.814453
604,19686.193359
605,19561.210938
606,21139.679688
607,16842.902344
608,24703.962891
609,22503.363281
610,26832.669922
611,49215.523438
612,41827.210938
613,25204.232422
614,29262.863281
615,35095.238281
616,41361.757812
617,36332.425781
618,32525.548828
619,50837.679688
620,47597.769531
621,48783.230469
622,46332.125000
623,53194.460938
624,56936.996094
625,61259.453125
626,66725.906250
627,51847.703125
628,56818.488281
629,63075.968750
630,58267.093750
631,58161.402344
632,63989.781250
633,70513.171875
634,58632.480469
635,68567.406250
636,68450.914062
637,64226.496094
638,60287.593750
639,59066.898438
640,64583.738281
641,61428.054688
642,55114.464844
643,64379.757812
644,71905.054688
645,71737.054688
646,67761.781250
647,66426.882812
648,76311.304688
649,69741.476562
650,68378.523438
651,66356.093750
652,72680.515625
653,58446.527344
654,63346.035156
655,66267.320312
656,60746.281250
657,66402.992188
658,59270.980469
659,60989.527344
660,68184.226562
661,71153.062500
662,63465.980469
663,57427.562500
664,61086.210938
665,59430.074219
666,56541.398438
667,56967.000000
668,48833.558594
669,47334.785156
670,59299.949219
671,53172.464844
672,48374.265625
673,49162.425781
674,54325.601562
675,53729.949219
676,51791.691406
677,52669.839844
678,46091.476562
679,45886.218750
680,33571.722656
681,32407.937500
682,38064.789062
683,31961.748047
684,31530.544922
685,28602.630859
686,18925.873047
687,30799.367188
688,27151.160156
689,26060.232422
690,18715.652344
691,22103.136719
692,13095.784180
693,23819.376953
694,8074.528320
695,12077.842773
696,9379.228516
697,7545.050293
698,7798.602539
699,9181.839844
700,4293.103516
701,-632.163513
702,1423.286499
703,-1787.640503
704,-3195.567383
705,-5111.820312
706,-17285.304688
707,-8962.332031
708,-18521.505859
709,-17906.541016
710,-8416.955078
711,-21128.791016
712,-33115.343750
713,-25843.457031
714,-27269.849609
715,-21694.220703
716,-27901.080078
717,-18420.044922
718,-24848.248047
719,-33950.804688
720,-33432.097656
721,-33444.914062
722,-38302.171875
723,-46754.164062
724,-33987.875000
725,-40782.695312
726,-46625.058594
727,-54861.031250
728,-47998.746094
729,-51393.187500
730,-50532.523438
731,-53588.898438
732,-52210.718750
733,-55535.328125
734,-54735.687500
735,-52315.531250
736,-50485.800781
737,-55128.718750
738,-61249.085938
739,-55718.664062
740,-59318.644531
741,-52099.968750
742,-56195.007812
743,-66210.679688
744,-59666.027344
745,-62967.945312
746,-58512.582031
747,-64435.855469
748,-64476.175781
749,-72471.820312
750,-65406.585938
751,-71802.078125
752,-75839.992188
753,-59995.742188
754,-70907.117188
755,-66947.304688
756,-62620.375000
757,-66141.281250
758,-73515.531250
759,-67967.757812
760,-77658.031250
761,-67083.281250
762,-65436.671875
763,-65641.984375
764,-67798.656250
765,-58153.933594
766,-63780.988281
767,-76376.101562
768,-63286.085938
769,-51576.218750
770,-53869.496094
771,-53060.621094
772,-66327.695312
773,-64769.835938
774,-63515.199219
775,-67615.984375
776,-51720.347656
777,-67210.421875
778,-56718.187500
779,-54598.738281
780,-53294.277344
781,-50302.734375
782,-47580.789062
783,-45890.414062
784,-41303.640625
785,-41317.265625
786,-50131.238281
787,-43840.789062
788,-50376.183594
789,-41715.640625
790,-31117.201172
791,-37910.882812
792,-34365.472656
793,-33845.308594
794,-32344.605469
795,-27452.429688
796,-24658.898438
797,-15976.612305
798,-22597.816406
799,-12343.220703
800,-15089.549805
801,-8093.468750
802,-10222.234375
803,-12830.875977
804,-604.400208
805,-5306.882324
806,-6489.022461
807,-9551.224609
808,8600.471680
809,3282.187988
810,3041.102539
811,334.736542
812,6378.014648
813,9805.550781
814,17365.916016
815,8800.650391
816,13988.889648
817,12106.706055
818,23652.994141
819,15882.622070
820,12640.509766
821,22418.673828
822,24560.091797
823,23109.267578
824,26924.796875
825,30822.685547
826,38140.796875
827,32918.390625
828,38189.863281
829,39722.742188
830,36491.800781
831,49939.195312
832,33062.722656
833,47789.265625
834,32928.730469
835,51224.246094
836,41601.511719
837,55501.097656
838,57163.957031
839,54537.484375
840,51686.351562
841,51386.152344
842,60667.320312
843,66132.226562
844,59447.402344
845,59269.035156
846,54219.675781
847,57245.136719
848,72887.257812
849,59344.269531
850,66916.007812
851,62004.355469
852,72044.148438
853,73574.210938
854,61652.062500
855,73671.562500
856,52495.191406
857,63780.894531
858,65088.980469
859,69022.703125
860,66117.265625
861,58928.816406
862,74832.492188
863,67045.992188
864,68864.945312
865,57420.546875
866,65534.296875
867,68539.859375
868,63548.171875
869,72667.359375
870,73924.835938
871,65897.656250
872,58137.074219
873,73075.984375
874,60902.089844
875,63923.835938
876,63889.128906
877,60624.335938
878,60712.234375
879,62106.179688
880,59029.097656
881,63811.343750
882,47137.253906
883,61945.808594
884,54508.023438
885,61565.554688
886,51404.199219
887,49218.328125
888,64115.171875
889,42282.046875
890,41860.894531
891,51855.933594
892,35360.011719
893,38194.558594
894,45973.195312
895,40829.058594
896,44539.558594
897,25953.982422
898,38284.796875
899,31400.703125
900,40617.730469
901,26742.925781
902,37287.792969
903,23065.335938
904,24679.216797
905,27130.775391
906,21003.589844
907,17871.087891
908,15816.617188
909,15908.618164
910,17101.824219
911,5128.921387
912,3835.912598
913,1790.630005
914,12530.148438
915,6670.077637
916,2456.285156
917,-2601.037354
918,1396.304565
919,2146.434570
920,-4746.309082
921,-13159.031250
922,-13496.806641
923,-6040.302734
924,-12527.737305
925,-22028.800781
926,-18509.128906
927,-29499.574219
928,-12443.045898
929,-15993.179688
930,-12700.944336
931,-29058.302734
932,-36654.390625
933,-35610.406250
934,-35326.371094
935,-30632.943359
936,-45355.644531
937,-42302.515625
938,-44493.539062
939,-43639.921875
940,-43102.953125
941,-53002.707031
942,-59097.136719
943,-46011.601562
944,-56478.746094
945,-51736.488281
946,-48129.261719
947,-63176.363281
948,-54874.308594
949,-46593.152344
950,-48894.679688
951,-59283.777344
952,-52083.089844
953,-49959.125000
954,-66912.039062
955,-63622.906250
956,-59473.261719
957,-60457.457031
958,-71190.632812
959,-59368.761719
960,-64884.898438
961,-67017.554688
962,-69014.085938
963,-72281.031250
964,-75074.257812
965,-67806.171875
966,-67413.625000
967,-72090.101562
968,-64564.402344
969,-76337.960938
970,-69911.046875
971,-68676.726562
972,-62697.035156
973,-68341.250000
974,-62144.832031
975,-66352.617188
976,-67547.632812
977,-73255.781250
978,-62114.144531
979,-68311.140625
980,-73735.257812
981,-56304.531250
982,-62459.968750
983,-77529.523438
984,-62137.640625
985,-62678.667969
986,-63623.078125
987,-45493.988281
988,-57837.136719
989,-75798.773438
990,-57357.988281
991,-59583.179688
992,-68486.828125
993,-62473.195312
994,-58344.621094
995,-56775.328125
996,-42509.527344
997,-49077.679688
998,-44158.367188
999,-46243.269531
1000,-50063.796875
1001,-41753.214844
1002,-43950.859375
1003,-38129.937500
1004,-45169.566406
1005,-33013.679688
1006,-34184.007812
1007,-18772.361328
1008,-32419.763672
1009,-31508.572266
1010,-18016.378906
1011,-33693.539062
1012,-19628.707031
1013,-26734.070312
1014,-22386.820312
1015,-21445.521484
1016,-18887.013672
1017,-16329.544922
1018,-18718.830078
1019,-15511.065430
1020,-5102.791016
1021,-20790.429688
1022,-5657.430664
1023,-8151.571777
1024,5048.060059
1025,-7893.572266
1026,-6180.083984
1027,10708.044922
1028,24963.960938
1029,6645.482910
1030,15113.049805
1031,10452.929688
1032,12471.189453
1033,18369.199219
1034,15538.840820
1035,25087.023438
1036,11232.436523
1037,17299.917969
1038,32648.970703
1039,20702.726562
1040,41906.820312
1041,39044.433594
1042,30725.728516
1043,32684.035156
1044,30610.744141
1045,40772.839844
