Performance
137.086042
Index,Sum
574,-33727.125000
575,-30232.558594
576,-35779.750000
577,-27104.527344
578,-22433.226563
579,-27629.884766
580,-32317.296875
581,-15895.990234
582,-22804.107422
583,-25220.675781
584,-22826.490234
585,-6958.235840
586,-11104.177734
587,-12433.527344
588,-17202.369141
589,1918.069946
590,-1335.612305
591,-20321.787109
592,1111.911377
593,2343.282227
594,-10301.622070
595,4998.447266
596,-5302.598633
597,-10175.473633
598,17031.912109
599,16586.087891
600,11178.132813
601,15613.198242
602,31809.949219
603,29679.814453
604,19686.187500
605,19561.210938
606,21139.679688
607,16842.910156
608,24703.962891
609,22503.349609
610,26832.673828
611,49215.523438
612,41827.218750
613,25204.242188
614,29262.857422
615,35095.230469
616,41361.746094
617,36332.425781
618,32525.544922
619,50837.683594
620,47597.761719
621,48783.230469
622,46332.117188
623,53194.468750
624,56936.984375
625,61259.457031
626,66725.906250
627,51847.710938
628,56818.480469
629,63075.968750
630,58267.085938
631,58161.406250
632,63989.785156
633,70513.179688
634,58632.480469
635,68567.398438
636,68450.906250
637,64226.488281
638,60287.582031
639,59066.898438
640,64583.738281
641,61428.046875
642,55114.476563
643,64379.761719
644,71905.046875
645,71737.046875
646,67761.789063
647,66426.875000
648,76311.312500
649,69741.468750
650,68378.523438
651,66356.085938
652,72680.515625
653,58446.527344
654,63346.035156
655,66267.335938
656,60746.289063
657,66402.992188
658,59270.984375
659,60989.511719
660,68184.226563
661,71153.054688
662,63465.980469
663,57427.566406
664,61086.203125
665,59430.070313
666,56541.390625
667,56967.007813
668,48833.550781
669,47334.781250
670,59299.937500
671,53172.464844
672,48374.253906
673,49162.414063
674,54325.609375
675,53729.953125
676,51791.691406
677,52669.843750
678,46091.476563
679,45886.222656
680,33571.718750
681,32407.945313
682,38064.777344
683,31961.744141
684,31530.544922
685,28602.626953
686,18925.875000
687,30799.369141
688,27151.152344
689,26060.222656
690,18715.644531
691,22103.130859
692,13095.786133
693,23819.378906
694,8074.526367
695,12077.836914
696,9379.225586
697,7545.052246
698,7798.601074
699,9181.834961
700,4293.105469
701,-632.163818
702,1423.287598
703,-1787.638916
704,-3195.570557
705,-5111.817871
706,-17285.298828
707,-8962.332031
708,-18521.503906
709,-17906.541016
710,-8416.953125
711,-21128.796875
712,-33115.335938
713,-25843.468750
714,-27269.845703
715,-21694.218750
716,-27901.076172
717,-18420.041016
718,-24848.248047
719,-33950.808594
720,-33432.089844
721,-33444.910156
722,-38302.171875
723,-46754.167969
724,-33987.875000
725,-40782.703125
726,-46625.054688
727,-54861.035156
728,-47998.753906
729,-51393.187500
730,-50532.527344
731,-53588.890625
732,-52210.722656
733,-55535.324219
734,-54735.675781
735,-52315.531250
736,-50485.796875
737,-55128.718750
738,-61249.082031
739,-55718.656250
740,-59318.644531
741,-52099.957031
742,-56195.007813
743,-66210.679688
744,-59666.042969
745,-62967.953125
746,-58512.578125
747,-64435.863281
748,-64476.164063
749,-72471.820313
750,-65406.578125
751,-71802.078125
752,-75840.000000
753,-59995.750000
754,-70907.125000
755,-66947.296875
756,-62620.382813
757,-66141.281250
758,-73515.531250
759,-67967.765625
760,-77658.054688
761,-67083.281250
762,-65436.656250
763,-65641.976563
764,-67798.656250
765,-58153.941406
766,-63780.972656
767,-76376.109375
768,-63286.089844
769,-51576.210938
770,-53869.496094
771,-53060.625000
772,-66327.695313
773,-64769.835938
774,-63515.191406
775,-67615.984375
776,-51720.347656
777,-67210.421875
778,-56718.167969
779,-54598.734375
780,-53294.273438
781,-50302.730469
782,-47580.777344
783,-45890.417969
784,-41303.644531
785,-41317.269531
786,-50131.238281
787,-43840.789063
788,-50376.179688
789,-41715.636719
790,-31117.191406
791,-37910.882813
792,-34365.476563
793,-33845.304688
794,-32344.601563
795,-27452.431641
796,-24658.892578
797,-15976.610352
798,-22597.802734
799,-12343.220703
800,-15089.549805
801,-8093.470703
802,-10222.234375
803,-12830.878906
804,-604.403015
805,-5306.885742
806,-6489.015625
807,-9551.223633
808,8600.468750
809,3282.188477
810,3041.102051
811,334.739624
812,6378.011719
813,9805.548828
814,17365.919922
815,8800.650391
816,13988.896484
817,12106.709961
818,23652.996094
819,15882.626953
820,12640.505859
821,22418.675781
822,24560.097656
823,23109.269531
824,26924.789063
825,30822.689453
826,38140.808594
827,32918.382813
828,38189.867188
829,39722.738281
830,36491.804688
831,49939.203125
832,33062.726563
833,47789.269531
834,32928.722656
835,51224.250000
836,41601.519531
837,55501.101563
838,57163.953125
839,54537.488281
840,51686.351563
841,51386.160156
842,60667.339844
843,66132.218750
844,59447.402344
845,59269.046875
846,54219.667969
847,57245.140625
848,72887.265625
849,59344.281250
850,66916.000000
851,62004.351563
852,72044.156250
853,73574.203125
854,61652.066406
855,73671.539063
856,52495.183594
857,63780.886719
858,65088.984375
859,69022.710938
860,66117.257813
861,58928.820313
862,74832.492188
863,67046.000000
864,68864.937500
865,57420.550781
866,65534.304688
867,68539.859375
868,63548.167969
869,72667.367188
870,73924.828125
871,65897.664063
872,58137.074219
873,73075.984375
874,60902.101563
875,63923.843750
876,63889.121094
877,60624.339844
878,60712.246094
879,62106.179688
880,59029.113281
881,63811.332031
882,47137.246094
883,61945.808594
884,54508.023438
885,61565.558594
886,51404.207031
887,49218.347656
888,64115.171875
889,42282.042969
890,41860.894531
891,51855.933594
892,35360.007813
893,38194.562500
894,45973.199219
895,40829.062500
896,44539.562500
897,25953.980469
898,38284.800781
899,31400.703125
900,40617.730469
901,26742.927734
902,37287.785156
903,23065.332031
904,24679.220703
905,27130.767578
906,21003.591797
907,17871.097656
908,15816.613281
909,15908.615234
910,17101.826172
911,5128.919434
912,3835.912598
913,1790.632690
914,12530.146484
915,6670.080566
916,2456.281738
917,-2601.042969
918,1396.304443
919,2146.439697
920,-4746.305664
921,-13159.029297
922,-13496.802734
923,-6040.303711
924,-12527.740234
925,-22028.798828
926,-18509.138672
927,-29499.578125
928,-12443.046875
929,-15993.181641
930,-12700.951172
931,-29058.302734
932,-36654.390625
933,-35610.390625
934,-35326.363281
935,-30632.937500
936,-45355.644531
937,-42302.515625
938,-44493.542969
939,-43639.917969
940,-43102.941406
941,-53002.707031
942,-59097.136719
943,-46011.601563
944,-56478.738281
945,-51736.480469
946,-48129.265625
947,-63176.347656
948,-54874.312500
949,-46593.148438
950,-48894.687500
951,-59283.773438
952,-52083.085938
953,-49959.125000
954,-66912.031250
955,-63622.902344
956,-59473.265625
957,-60457.457031
958,-71190.648438
959,-59368.757813
960,-64884.902344
961,-67017.554688
962,-69014.093750
963,-72281.023438
964,-75074.265625
965,-67806.171875
966,-67413.632813
967,-72090.101563
968,-64564.417969
969,-76337.976563
970,-69911.046875
971,-68676.726563
972,-62697.042969
973,-68341.257813
974,-62144.835938
975,-66352.609375
976,-67547.617188
977,-73255.789063
978,-62114.152344
979,-68311.125000
980,-73735.250000
981,-56304.535156
982,-62459.968750
983,-77529.523438
984,-62137.636719
985,-62678.667969
986,-63623.074219
987,-45494.007813
988,-57837.144531
989,-75798.757813
990,-57357.984375
991,-59583.191406
992,-68486.843750
993,-62473.203125
994,-58344.609375
995,-56775.324219
996,-42509.523438
997,-49077.675781
998,-44158.378906
999,-46243.277344
1000,-50063.800781
1001,-41753.210938
1002,-43950.855469
1003,-38129.941406
1004,-45169.558594
1005,-33013.679688
1006,-34184.007813
1007,-18772.367188
1008,-32419.759766
1009,-31508.572266
1010,-18016.373047
1011,-33693.546875
1012,-19628.703125
1013,-26734.068359
1014,-22386.824219
1015,-21445.517578
1016,-18887.009766
1017,-16329.543945
1018,-18718.839844
1019,-15511.067383
1020,-5102.792480
1021,-20790.423828
1022,-5657.427246
1023,-8151.568848
1024,5048.055176
1025,-7893.570313
1026,-6180.083008
1027,10708.045898
1028,24963.966797
1029,6645.481445
1030,15113.044922
1031,10452.927734
1032,12471.191406
1033,18369.199219
1034,15538.844727
1035,25087.027344
1036,11232.438477
1037,17299.914063
1038,32648.958984
1039,20702.726563
1040,41906.812500
1041,39044.429688
1042,30725.722656
1043,32684.027344
1044,30610.744141
1045,40772.828125
1046,34907.324219
1047,46673.214844
1048,46883.273438
1049,40830.847656
1050,49717.082031
1051,42212.683594
1052,39081.097656
1053,43783.871094
1054,49375.148438
1055,54686.187500
1056,44738.789063
1057,50251.992188
1058,54214.054688
1059,53676.476563
1060,64976.929688
1061,54362.613281
1062,54228.753906
1063,70761.375000
1064,68699.226563
1065,61825.972656
1066,55443.144531
1067,66907.734375
1068,59541.476563
1069,64899.003906
1070,62046.863281
1071,71760.718750
1072,74037.398438
1073,66824.421875
1074,74136.781250
1075,64966.851563
1076,74343.296875
1077,71732.421875
1078,67102.554688
1079,78267.703125
1080,60540.683594
1081,74746.562500
1082,69210.171875
1083,60433.121094
1084,60362.531250
1085,73983.507813
1086,70315.492188
1087,67979.812500
1088,64310.824219
1089,58392.750000
1090,60273.519531
1091,63486.687500
1092,57768.003906
1093,62360.812500
1094,52317.394531
1095,55851.585938
1096,70497.054688
1097,63686.148438
1098,51401.691406
1099,58191.894531
1100,61042.972656
1101,66661.593750
1102,56790.730469
1103,51131.355469
1104,48561.156250
1105,51135.406250
1106,42097.500000
1107,51997.054688
1108,53818.968750
1109,39245.761719
1110,37194.460938
1111,32096.601563
1112,39012.003906
1113,38173.765625
1114,45398.390625
1115,28877.208984
1116,34365.671875
1117,35375.105469
1118,27962.287109
1119,28796.177734
1120,14082.531250
1121,20294.232422
1122,29735.437500
1123,25708.931641
1124,19924.199219
1125,789.619202
1126,19100.367188
1127,4728.736328
1128,4653.474121
